"vocabpre"	"mathpre"	"numbmath"	"likemath"	"likelit"	"preflit"	"pextra"	"pagree"	"pconsc"	"pemot"	"pintell"	"mars"	"beck"	"rq"	"vm"	"cauc"	"afram"	"other"	"age"	"male"	"married"	"parents."	"momdegr"	"daddegr"	"credit"	"majormi"	"actcomp"	"hsgpaar"	"collgpaa"	"vocaball"	"mathall"
"126"	26	3	2	2	10	3	38	40	24	28	38	88	12	"quasiexperiment"	"Vocabulary"	"Caucasian"	"Other"	0	19	"female"	"0"	210000	18	18	0	"non-technical"	22	3.2	1.33	13	4
"127"	19	4	3	8	8	1	24	46	47	46	47	52	2.36363636363636	"quasiexperiment"	"Mathematics"	"Other"	"Afro-American"	0	32	"female"	"0"	15000	12	16	140	"non-technical"	13	3.2	2.4	6	11
"128"	14	4	1	2	9	3	34	44	32	19	33	74	10	"randomized experiment"	"Mathematics"	"Other"	"Afro-American"	0	18	"female"	"0"	78417.1234420498	16	18	0	"non-technical"	22	3.62	3.48	11	14
"129"	18	11	1	5	7	3	35	32	31	24	32	66	3.25	"randomized experiment"	"Mathematics"	"Other"	"Afro-American"	0	18	"female"	"0"	15598.6378003888	12	12	0	"non-technical"	21	4	3	9	11
"130"	14	4	2	7	2	1	34	33	29	21	30	72	3	"randomized experiment"	"Vocabulary"	"Other"	"Afro-American"	0	19	"female"	"0"	9000	12	12.4099785031562	0	"non-technical"	15	3.63	2.68	9	1
"131"	21	8	4	7	7	1	37	39	39	31	37	56	3	"randomized experiment"	"Mathematics"	"Other"	"Afro-American"	0	22	"female"	"0"	40000	12	13.417756736904	114	"non-technical"	21	3.3	3.09	7	15
"132"	27	10	2	4	7	3	22	43	34	20	39	54	6	"randomized experiment"	"Vocabulary"	"Caucasian"	"Other"	0	19	"female"	"0"	50000	18	16	31	"non-technical"	29	3.95	3.16	21	12
"133"	19	8	2	2	5	3	39	48	42	36	38	67	1	"randomized experiment"	"Vocabulary"	"Caucasian"	"Other"	0	20	"female"	"0"	110822.75421459	16	16	56	"non-technical"	19	3.2	3.45	16	4
"134"	24	6	6	3	9	3	38	43	32	32	44	32	7	"randomized experiment"	"Vocabulary"	"Caucasian"	"Other"	0	18	"male"	"0"	50000	18	14	0	"non-technical"	22	3.1	2.12	16	4
"135"	19	6	2	3	8	3	40	43	32	21	40	87	4	"randomized experiment"	"Mathematics"	"Other"	"Afro-American"	0	20	"female"	"0"	56254.5694777932	14	16	77	"non-technical"	20	3.88	2.129	9	13
"136"	22	6	4	2	9	3	39	43	41	36	43	33	5	"quasiexperiment"	"Vocabulary"	"Other"	"Afro-American"	0	21	"male"	"0"	79199.3630213792	16	14	54	"non-technical"	23	3.59	1.85	14	0
"137"	13	5	1	2	2	2	27	34	41	31	26	73	2	"randomized experiment"	"Vocabulary"	"Caucasian"	"Other"	0	20	"male"	"0"	113139.389409052	12.968258584511	13.9876770273013	18.0213115466471	"non-technical"	21	2.5	2.5	15	5
"138"	16	6	3	5	5	2	34	35	32	32	31	64.5833333333333	5	"randomized experiment"	"Vocabulary"	"Caucasian"	"Other"	0	20	"female"	"0"	65000	16	16	0	"technical"	18	2.43	2.04	15	4
"139"	20	8	1	7	8	3	31	45	36	33	33	48	0	"quasiexperiment"	"Mathematics"	"Caucasian"	"Other"	0	18	"female"	"0"	95076.784642587	12	12	0	"non-technical"	24	3.02	3.82	7	10
"140"	28	6	2	5	9	3	36	40	32	40	40	34	3	"quasiexperiment"	"Vocabulary"	"Caucasian"	"Other"	0	23	"male"	"0"	60000	12	16	0	"technical"	28	2.6	2.5	19	13
"141"	20	5	1	6	8	3	27	35	43	39	30	25	0	"quasiexperiment"	"Vocabulary"	"Other"	"Afro-American"	0	19	"female"	"0"	80000	16	12	24	"non-technical"	19	3.4	3.57	15	7
"142"	21	7	1	4	5	3	34.5682911323739	41.5024919425628	34.954054191649	30.86367919964	33.5820171995489	38	1	"randomized experiment"	"Mathematics"	"Caucasian"	"Other"	0	18	"female"	"0"	1e+05	16	16	17.24378578513	"non-technical"	22	3.34	3.076	6	12
"143"	28	8	3	3	10	3	46	47	50	29	46	43	1	"randomized experiment"	"Mathematics"	"Caucasian"	"Other"	0	23	"female"	"married"	60000	12	12	48	"non-technical"	28	3	3.375	17	12
"144"	23	5	2	2	8	3	36	37	36	25	39	89	9	"quasiexperiment"	"Vocabulary"	"Other"	"Afro-American"	0	18	"female"	"0"	80000	14	12	27	"technical"	21	3.66	3	18	13
"145"	26	12	1	2	7	3	41	38	30	38	42	54	2	"randomized experiment"	"Vocabulary"	"Caucasian"	"Other"	0	18	"female"	"0"	95000	13	14	0	"non-technical"	21	2.63	1.83	20	3
"146"	21	3	1	8	8	3	39	40	32	39	38	53	2	"quasiexperiment"	"Vocabulary"	"Caucasian"	"Other"	0	19	"female"	"0"	96421.3113766931	14.8487251181416	14.8710362743155	0	"non-technical"	15	2.8	0.642	8	4
"147"	14	6	2	10	2	1	40	42	30	25	37	36	9	"randomized experiment"	"Mathematics"	"Caucasian"	"Other"	0	20	"female"	"0"	105290.211691897	18	14	60	"non-technical"	18	1.77	2.46	5	11
"148"	19	6	2	3	3	1	29	37	32	23	32	33	13	"randomized experiment"	"Vocabulary"	"Caucasian"	"Other"	0	20	"female"	"0"	75000	12	16	24	"non-technical"	19	3.14	2.25	16	6
"149"	18	8	3	7	8	1	45	44	43	29	42	43	10	"randomized experiment"	"Mathematics"	"Caucasian"	"Other"	0	19	"female"	"0"	116696.687273638	18	16	28	"non-technical"	25	3.9	3.828	7	15
"150"	9	2	3	6	4	1	50	39	38	35	40	64	19	"quasiexperiment"	"Mathematics"	"Other"	"Afro-American"	0	27	"male"	"married"	80000	10	12	36	"technical"	11.4952962505608	1.63	1.973	2	7
"151"	31	9	3	8	10	3	39	46	27	32	40	49	7	"quasiexperiment"	"Mathematics"	"Other"	"Afro-American"	0	24	"male"	"0"	47000	16	14	70	"technical"	27	3.3	2.34	16	16
"152"	9	3	2	6	5	1	34	39	26	25	38	95.8333333333333	45	"quasiexperiment"	"Mathematics"	"Other"	"Afro-American"	0	28.6269678302532	"male"	"0"	38187.0125506087	12.1965451195543	15.3253685691322	58.8511280571707	"non-technical"	25.416136140308	1.89255511321418	1.615	9	18
"153"	22	5	2	8	8	1	22	41	36	29	41	119	1	"randomized experiment"	"Mathematics"	"Other"	"Other"	1	18	"female"	"0"	80000	18	16	6.59326906791607	"technical"	24.281	3	2	4	13
"154"	32	6	2	5	7	3	37	37	36	39	31	36	0	"quasiexperiment"	"Vocabulary"	"Caucasian"	"Other"	0	45	"female"	"married"	108140.963549808	13	12	57	"non-technical"	21.2333172111896	3.2	3.77	20	1
"155"	18	5	2	5	8	3	30	40	28	34	28	64	4	"randomized experiment"	"Vocabulary"	"Other"	"Afro-American"	0	26	"male"	"0"	47938.7871812715	12	12	0	"non-technical"	19	2.9	2.08	13	3
"156"	18	6	2	6	5	1	29	43	33	35	43	62	0	"quasiexperiment"	"Mathematics"	"Other"	"Afro-American"	0	26	"male"	"0"	40000	12	16	13	"non-technical"	32.1027475754643	2.48	1.724	8	10
"157"	29	8	3	6	7	3	31	42	32	46	43	25	1	"quasiexperiment"	"Vocabulary"	"Caucasian"	"Other"	0	29	"male"	"0"	80000	16	16	90	"non-technical"	23	2	2.625	23	4
"158"	13	4	2	2	6	3	35	45	26	20	31	27	6	"randomized experiment"	"Mathematics"	"Other"	"Afro-American"	0	22	"female"	"0"	79412.60009068	9	10.8011676076984	0	"non-technical"	15	1.14	1.64	6	5
"159"	23	6	2	3	7	3	29	41	38	34	34	34	5	"randomized experiment"	"Vocabulary"	"Other"	"Afro-American"	0	21	"female"	"0"	40000	12	12	90	"non-technical"	22	3.87	2.37	18	14
"160"	18	2	1	2	8	3	22	37	33	18	29	85	6.5	"randomized experiment"	"Mathematics"	"Other"	"Afro-American"	0	18	"female"	"0"	92622.7927809344	12	12	0	"technical"	26	3.72	2.85375392615429	10	16
"161"	14	4	1	2	8	3	21	38	39	24	33	37	3	"randomized experiment"	"Mathematics"	"Other"	"Afro-American"	0	18	"female"	"0"	56125.9334488276	13	13	0	"non-technical"	17	3.6	1.78	4	14
"162"	26	10	2	6	7	3	31	43	38	23	35	69	7	"randomized experiment"	"Mathematics"	"Other"	"Other"	1	20	"male"	"0"	75000	18	12	64	"technical"	27	3.46	2.783	11	10
"163"	23	5	2	2	8	3	38	41	34	28	38	97	0	"randomized experiment"	"Mathematics"	"Caucasian"	"Other"	0	19	"female"	"0"	147181.754821229	18	18	43	"technical"	20	3.18	2.86	9	13
"164"	29	12	2	6	8	3	37	46	40	31	39	61	1	"quasiexperiment"	"Vocabulary"	"Other"	"Other"	1	17	"female"	"0"	75000	18	16	17	"technical"	30	4	3.714	18	15
"165"	16	1	2	4	9	3	27	45	40	44	46	96	0	"randomized experiment"	"Mathematics"	"Other"	"Afro-American"	0	28.5503080082136	"female"	"0"	66605.1905990712	12.9441855514234	14.0316694754098	43.6324169850847	"non-technical"	16.6264837695198	2.70292731247129	2.253959244888	8	6
"166"	27	11	3	6	2	1	36	38	36	34	38	32	4	"randomized experiment"	"Vocabulary"	"Caucasian"	"Other"	0	21	"male"	"0"	53009.8754890273	12	13	80	"non-technical"	26	3.78	3.34241919167887	19	17
"167"	27	6	2	3	7	3	34	46	33	40	47	53	3	"randomized experiment"	"Mathematics"	"Other"	"Other"	1	18	"male"	"0"	90000	13	18	25	"non-technical"	31	3.79	4	12	16
"168"	23	2	1	2	8	3	32	38	23	19	40	89	21	"randomized experiment"	"Mathematics"	"Caucasian"	"Other"	0	19	"female"	"0"	75000	18	16	25	"non-technical"	23	3.3	3.25	5	8
"169"	16	6	1	5	6	3	32	40	35	30	34	67	8	"randomized experiment"	"Mathematics"	"Caucasian"	"Other"	0	18	"female"	"0"	89469.0248213614	11	13.223296633775	11	"non-technical"	19	2.3	1.909	6	12
"170"	33	7	1	4	7	3	22	45	35	26	37	42	1	"quasiexperiment"	"Vocabulary"	"Caucasian"	"Other"	0	18	"female"	"0"	76548.4522752679	18	18	6	"non-technical"	31	4	2.21	23	13
"171"	25	12	1	2	10	3	25	44	17	22	27	43	11	"randomized experiment"	"Mathematics"	"Caucasian"	"Other"	0	18	"female"	"0"	83000	16	12	14	"non-technical"	23	3.38	3.074	11	10
"172"	22	3	2	3	6	3	40	45	37	27	37	48	0	"quasiexperiment"	"Vocabulary"	"Other"	"Afro-American"	0	19	"female"	"0"	80000	16.8914975993122	20	45	"non-technical"	25	3.72	3.451	20	15
"173"	16	4	1	4	5	3	35	40	40	33	30	30	0	"quasiexperiment"	"Vocabulary"	"Caucasian"	"Other"	0	17	"female"	"0"	77894.3528158123	16	16	0	"non-technical"	22	3.16	2.88	15	6
"174"	26	7	2	2	7	3	29	39	25	18	35	60	9	"randomized experiment"	"Mathematics"	"Caucasian"	"Other"	0	19	"female"	"0"	92035.3235069387	12	14	25	"non-technical"	23	3	1.815	11	14
"175"	22	7	4	9	3	1	35	34	35	27	29	70.8333333333333	17	"quasiexperiment"	"Mathematics"	"Other"	"Afro-American"	0	20	"female"	"0"	51000	13	16	77	"technical"	22	3.96	3.64	9	14
"176"	21	5	1	2	6	3	49	40	23	40	28	59	3	"randomized experiment"	"Mathematics"	"Caucasian"	"Other"	0	18	"male"	"0"	75000	18	18	0	"non-technical"	20	2.26	1	6	6
"177"	19	7	2	8	7	1	37	40	44	25	33	40	4	"randomized experiment"	"Mathematics"	"Caucasian"	"Other"	0	18	"female"	"0"	2e+05	14.855685412957	14.9934541056457	0	"non-technical"	20	2.96	3.25	9	13
"178"	23	5	2	7	7	2	37	45	32	30	38	38.5416666666667	2	"randomized experiment"	"Mathematics"	"Caucasian"	"Other"	0	27	"female"	"0"	150000	16	18	23	"non-technical"	18	2.7	2.29	11	11
"179"	10	2	2	5	7	3	35	40	36	29	30	68	8	"randomized experiment"	"Vocabulary"	"Other"	"Afro-American"	0	18	"female"	"0"	80000	16	12	14	"non-technical"	15	3.08	1.68	17	8
"180"	30	4	1	2	8	3	31	35	42	33	36	92	3	"randomized experiment"	"Vocabulary"	"Caucasian"	"Other"	0	19	"female"	"0"	60000	18	16	16	"non-technical"	23	4	4	23	6
"181"	20	3	1	2	10	3	38	47	47	20	39	68	5	"quasiexperiment"	"Vocabulary"	"Other"	"Afro-American"	0	19	"female"	"0"	60000	16	16	30	"non-technical"	19	3.1	3.08	18	3
"182"	24	3	3	2	7	3	33	43	37	24	38	110	7	"randomized experiment"	"Mathematics"	"Other"	"Afro-American"	0	21	"female"	"0"	71961.2135530001	14	16	46.8232633910025	"non-technical"	21	3.8	2.5	11	13
"183"	20	3	1	2	6	3	22	40	32	31	27	87	12	"quasiexperiment"	"Vocabulary"	"Caucasian"	"Other"	0	20	"female"	"0"	160000	16	16	15	"non-technical"	20	3.44	2.37	20	7
"184"	22	7	2	2	5	3	47	50	44	41	38	43	4	"randomized experiment"	"Vocabulary"	"Caucasian"	"Other"	0	18	"female"	"0"	1e+05	12	12	0	"non-technical"	19	3.76	3	21	1
"185"	16	4	1	7	8	3	24	43	43	45	37	44	0	"randomized experiment"	"Mathematics"	"Other"	"Afro-American"	0	18	"female"	"0"	40362.5081237105	12	12	0	"technical"	16	3.63	3	9	11
"186"	30	8	2	3	8	3	22	41	30	31	42	35	2	"quasiexperiment"	"Mathematics"	"Caucasian"	"Other"	0	20	"female"	"0"	90000	12	12	24	"non-technical"	29	4	3.54	13	14
"187"	22	8	3	5	5	2	22	33	40	38	37	37	0	"randomized experiment"	"Mathematics"	"Caucasian"	"Other"	0	19	"male"	"0"	100240.776087519	18	18	22	"technical"	27	4	3.787	10	15
"188"	22	3	2	6	6	2	31	40	41	23	28	56	3	"quasiexperiment"	"Vocabulary"	"Caucasian"	"Other"	0	19	"female"	"0"	1e+05	16	16	0	"non-technical"	22	2.5	2.91530822774916	11	0
"189"	16	3	1	5	8	3	33	36	42	31	41	69	3	"quasiexperiment"	"Mathematics"	"Other"	"Afro-American"	0	18	"female"	"0"	81933.995696312	16	16	0	"technical"	18	3	2.30897313754503	7	10
"190"	19	5	2	3	5	3	35	39	37	36	34	54	1	"quasiexperiment"	"Vocabulary"	"Caucasian"	"Other"	0	20	"male"	"0"	73559.924488627	12	14	37.2285345851075	"non-technical"	20	3.6	3.3	13	6
"191"	21	4	1	2	8	3	40	39	27	41	36	50	1	"quasiexperiment"	"Vocabulary"	"Caucasian"	"Other"	0	21.5633127994524	"female"	"0"	31864.6034166514	14.9822967362417	14.7793494515458	17.0127151120389	"non-technical"	20.4609205869559	2.94190708516738	2.38646290825297	10	4
"192"	17	7	1	3	8	3	38	41	39	36	35	51	1	"randomized experiment"	"Mathematics"	"Caucasian"	"Other"	0	18	"female"	"0"	60000	14	14	17	"non-technical"	19	2.9	2.416	6	7
"193"	23	8	1	2	2	3	29	43	36	38	26	61	1	"randomized experiment"	"Mathematics"	"Caucasian"	"Other"	0	18	"female"	"0"	112103.284615343	16	12	0	"non-technical"	25.178	3.25	3	4	11
"194"	21	2	1	5	6	3	39	42	34	41	39	41	2	"randomized experiment"	"Vocabulary"	"Other"	"Afro-American"	0	18	"male"	"0"	53603.0189552811	16	18	0	"technical"	20	2.71	2.29	16	7
"195"	18	6	2	4	5	3	32	33	36	37	27	63	3	"randomized experiment"	"Vocabulary"	"Other"	"Other"	1	18	"male"	"0"	16619.2081659454	12	12	14	"non-technical"	17	2.97	3.185	16	8
"196"	24	4	1	2	10	3	42	44	27	32	40	109	3	"quasiexperiment"	"Vocabulary"	"Other"	"Afro-American"	0	24	"female"	"0"	75000	16	16	9.1592187679163	"non-technical"	18.9843357756954	2.37	1.75	20	7
"197"	17	1	2	2	6	3	31	36	35	27	37	37	8	"quasiexperiment"	"Vocabulary"	"Other"	"Afro-American"	0	22	"female"	"0"	91967.3078128381	16	16	80	"non-technical"	21	3	2.9	12	4
"198"	21	6	1	5	4	2	28	37	26	34	35	25	0	"quasiexperiment"	"Vocabulary"	"Other"	"Afro-American"	0	21	"female"	"0"	45000	16	16	0	"technical"	19	2.04	1	18	10
"199"	16	5	1	2	7	3	26	40	42	38	38	68	0	"randomized experiment"	"Vocabulary"	"Other"	"Afro-American"	0	33	"female"	"0"	72175.9019856672	14	11	0	"non-technical"	15.4254418480618	2.7	2.37681242728576	14	3
"200"	26	9	1	7	8	3	45	49	26	14	43	59	18	"randomized experiment"	"Vocabulary"	"Caucasian"	"Other"	0	24	"female"	"0"	53933.8547725044	12	6	12	"non-technical"	28	3.8	2.529	18	4
"201"	16	5	3	9	4	1	21	31	34	28	31	52	5	"quasiexperiment"	"Mathematics"	"Other"	"Afro-American"	0	23	"female"	"0"	75000	13.3065349801727	14.0706367951427	43.2248965632977	"non-technical"	18	3.18157537504006	2.49	7	11
"202"	15	7	1	6	9	2	29	34	48	24	34	82	1	"randomized experiment"	"Vocabulary"	"Caucasian"	"Other"	0	25	"female"	"0"	31000	12	12	0	"non-technical"	17	3.2	3.65	19	4
"203"	22	7	2	7	6	1	25	38	33	23	36	62	0	"quasiexperiment"	"Vocabulary"	"Other"	"Afro-American"	0	21	"female"	"0"	44950.3042225286	12	12	62	"non-technical"	20	4	2.67	16	10
"204"	27	7	1	4	9	3	28	36	26	26	35	70	0	"randomized experiment"	"Vocabulary"	"Caucasian"	"Other"	0	21	"male"	"0"	80000	12	12	20	"non-technical"	25	3.4	3.325	20	6
"205"	14	5	2	6	6	2	26	33	32	34	33	46	0	"quasiexperiment"	"Vocabulary"	"Other"	"Afro-American"	0	20	"female"	"married"	40000	20	14	32	"non-technical"	16	3.5	2.9	11	5
"206"	25	9	3	2	5	3	46	48	31	30	47	63	8	"quasiexperiment"	"Vocabulary"	"Caucasian"	"Other"	0	18	"female"	"0"	75000	16	18	0	"non-technical"	27	3.39	1.83	17	7
"207"	27	7	2	5	8	3	30	40	37	36	40	38	1	"quasiexperiment"	"Mathematics"	"Caucasian"	"Other"	0	33	"female"	"married"	275000	12	18	40	"non-technical"	20	2.5	3.884	10	10
"208"	19	5	1	4	7	3	44	46	41	16	23	76	7	"randomized experiment"	"Mathematics"	"Caucasian"	"Other"	0	19	"female"	"0"	85000	16.3006583568559	18	0	"non-technical"	17	4	2.75	6	8
"209"	17	5	1	2	7	3	33	46	39	38	37	86	3	"randomized experiment"	"Vocabulary"	"Caucasian"	"Other"	0	19	"female"	"0"	70000	14	16	24	"non-technical"	21	3.09	1.6	14	0
"210"	29	11	1	3	9	3	19	22	41	32	46	65	5	"randomized experiment"	"Vocabulary"	"Caucasian"	"Other"	0	19	"male"	"0"	50000	12	12	14	"non-technical"	30	3.7	3.896	23	6
"211"	22	10	1	4	7	3	42	50	32	37	43	42	4	"randomized experiment"	"Vocabulary"	"Caucasian"	"Other"	0	18	"female"	"0"	80000	12	12	0	"technical"	17	3.39	1	8	4
"212"	27	5	3	3	10	3	39	44	42	26	43	43	0	"quasiexperiment"	"Mathematics"	"Caucasian"	"Other"	0	20	"female"	"0"	90000	18	18	70	"non-technical"	27	3.78	3.67	7	12
"213"	27	7	1	2	10	3	39	37	20	31	44	81	5	"randomized experiment"	"Vocabulary"	"Caucasian"	"Other"	0	17	"female"	"0"	180000	16	16	0	"non-technical"	30	2.55	1.56	23	5
"214"	28	13	2	4	10	3	25	40	30	33	37	27	3	"randomized experiment"	"Vocabulary"	"Other"	"Other"	1	17	"female"	"0"	40000	18	18	0	"non-technical"	32	3.96	4	19	17
"215"	16	5	2	2	6	3	26	39	36	19	35	41	9	"randomized experiment"	"Mathematics"	"Other"	"Afro-American"	0	21	"female"	"0"	74000	12	10	23	"non-technical"	14	2.5	2.456	8	11
"216"	20	8	2	8	4	1	24	42	36	29	35	46	1	"quasiexperiment"	"Vocabulary"	"Other"	"Afro-American"	0	18	"female"	"0"	60000	12	12	0	"non-technical"	20	3.09	2.24	11	11
"217"	15	8	3	6	6	1	26	35	35	30	36	55	3	"randomized experiment"	"Vocabulary"	"Caucasian"	"Other"	0	22	"male"	"married"	70000	13	16	105	"technical"	22	2.97659455245459	2.6	19	10
"218"	27	11	3	6	6	1	20	40	23	32	37	46	14	"quasiexperiment"	"Vocabulary"	"Caucasian"	"Other"	0	19	"male"	"0"	18000	12	12	32	"non-technical"	23	4	2.32	18	13
"219"	17	6	1	4	7	3	35	41	30	31	30	64	5	"randomized experiment"	"Vocabulary"	"Caucasian"	"Other"	0	18	"female"	"0"	97870.9506548861	12	16	0	"non-technical"	18	2.8	2.13	16	4
"220"	25	9	2	4	8	3	24	25	33	34	45	55	4	"randomized experiment"	"Mathematics"	"Caucasian"	"Other"	0	20	"male"	"0"	36000	12	12	52	"technical"	28	2.83	2.25	10	17
"221"	22	7	1	5	6	3	38	41	34	12	42	43	4	"randomized experiment"	"Mathematics"	"Caucasian"	"Other"	0	19	"male"	"0"	1e+05	13.2717817018255	13.2750145864422	18.6410340996403	"non-technical"	21	2.37	2.875	4	6
"222"	15	8	2	2	7	3	32	33	29	25	43	76	11	"quasiexperiment"	"Mathematics"	"Caucasian"	"Other"	0	19	"male"	"0"	65000	16	18	14	"non-technical"	27	3	2.458	12	14
"223"	12	5	2	4	6	3	34	38	38	29	38	28.125	0	"randomized experiment"	"Vocabulary"	"Other"	"Afro-American"	0	18	"female"	"0"	49182.790008904	16	13	17	"non-technical"	15	2.9	2.208	8	5
"224"	19	7	4	4	3	1	38	38	37	33	42	32	2	"quasiexperiment"	"Mathematics"	"Other"	"Afro-American"	0	20	"male"	"0"	110000	16	18	0	"technical"	22	2.16	2.281	8	8
"225"	19	7	4	4	4	2	40	43	32	34	41	33	0	"quasiexperiment"	"Mathematics"	"Other"	"Afro-American"	0	20	"male"	"0"	110000	16	18	0	"technical"	22	2.16	2.281	8	8
"226"	21	4	1	2	8	3	35	43	32	37	38	69	3	"randomized experiment"	"Mathematics"	"Caucasian"	"Other"	0	19	"female"	"0"	1e+05	16	18	0	"non-technical"	21	2.56	2	6	6
"227"	22	4	1	2	5	3	27	38	26	17	37	65	5	"randomized experiment"	"Vocabulary"	"Caucasian"	"Other"	0	18	"male"	"0"	50000	12	12	0	"non-technical"	17	2.16	1.73	16	4
"228"	17	7	2	2	5	2	31	34	33	31	28	73	18	"randomized experiment"	"Mathematics"	"Other"	"Afro-American"	0	20	"male"	"0"	53251.3427050757	18	12	80	"non-technical"	17	2.69	2.386	6	8
"229"	18	6	1	3	4	3	25	39	37	41	32	68	4	"quasiexperiment"	"Vocabulary"	"Other"	"Afro-American"	0	18	"female"	"0"	65000	16	16	12	"non-technical"	18	3.6	1.6	15	11
"230"	24	7	3	8	5	1	38	41	35	24	28	25	9	"randomized experiment"	"Mathematics"	"Other"	"Afro-American"	0	21	"female"	"0"	94291.5690580414	14	15	74	"non-technical"	22	2.8	2.3	4	15
"231"	20	3	1	2	6	3	38	50	33	20	38	83.3333333333333	5	"randomized experiment"	"Vocabulary"	"Caucasian"	"Other"	0	19	"female"	"0"	3e+05	12	12	13	"non-technical"	18	2.7	0.909	15	6
"232"	19	9	1	2	7	3	40	42	34	32	36	36	5	"randomized experiment"	"Vocabulary"	"Other"	"Afro-American"	0	18	"female"	"0"	37000	18	14	13	"non-technical"	19	3.25	3.142	12	3
"233"	11	3	2	7	2	1	30	36	33	23	31	101	10	"randomized experiment"	"Vocabulary"	"Other"	"Afro-American"	0	21	"female"	"0"	87601.0286974127	12	16	33	"non-technical"	19	2.47	1.82	20	12
"234"	13	10	3	9	4	1	23	37	27	26	31	57	16	"quasiexperiment"	"Mathematics"	"Other"	"Other"	1	19	"female"	"0"	57826.887369447	12	16	14	"technical"	21.7056233726825	3.6	2.44908636601838	8	17
"235"	17	9	4	8	4	1	33	41	26	33	39	35	14	"quasiexperiment"	"Vocabulary"	"Other"	"Afro-American"	0	31.8302532511978	"male"	"0"	71544.1886536592	13.4813711527116	13.5823527245317	73.4659613301654	"non-technical"	19.417896682244	2.75289879915897	2.4	14	15
"236"	12	6	2	4	8	3	40	41	34	36	39	48	1	"quasiexperiment"	"Vocabulary"	"Other"	"Afro-American"	0	32	"female"	"married"	58732.0104298796	14	12.5293836888504	89	"non-technical"	13.9517969933576	2.69894909828407	2.72	13	6
"237"	28	3	1	2	9	3	35	42	34	30	36	67	2	"quasiexperiment"	"Mathematics"	"Caucasian"	"Other"	0	32	"female"	"0"	116671.92058739	12	12	0	"non-technical"	19	2.60001094272391	3.145	10	7
"238"	20	7	2	7	3	1	36	44	45	23	33	47	8	"randomized experiment"	"Mathematics"	"Caucasian"	"Other"	0	22	"female"	"0"	140000	20	16	110	"non-technical"	20	2.7	2.63	10	11
"239"	14	5	1	3	7	3	34	39	42	28	35	28	9	"randomized experiment"	"Mathematics"	"Other"	"Afro-American"	0	19	"female"	"0"	58333.6680822496	13.5029527325847	12.6442658652414	28	"non-technical"	16	2.9	1.347	8	6
"240"	21	4	1	4	5	3	18	34	32	37	30	47.9166666666667	3	"randomized experiment"	"Vocabulary"	"Other"	"Afro-American"	0	19	"female"	"0"	44011.0633003062	16	14	0	"non-technical"	21	2.72	3.56	16	9
"241"	11	5	3	9	6	1	27	34	36	27	31	48	4	"randomized experiment"	"Mathematics"	"Caucasian"	"Other"	0	20	"female"	"0"	20000	12	16	28	"technical"	16	4	3.133	7	10
"242"	25	6	3	4	8	3	27	36	38	32	36	64	0	"quasiexperiment"	"Mathematics"	"Caucasian"	"Other"	0	19	"female"	"0"	35000	12	12	17	"non-technical"	22	3.42	3.285	11	10
"243"	24	7	4	6	5	1	15	42	37	24	35	42	3	"quasiexperiment"	"Mathematics"	"Other"	"Afro-American"	0	21	"female"	"0"	11000	15	15	85	"technical"	19	3.51	3.21	4	13
"244"	21	6	2	4	9	3	29	41	37	20	43	62	5	"randomized experiment"	"Mathematics"	"Other"	"Afro-American"	0	19	"female"	"0"	90000	12	12	32	"technical"	20	2.54	2.34	10	11
"245"	15	2	2	4	6	2	33	42	39	28	34	80	3	"randomized experiment"	"Mathematics"	"Other"	"Afro-American"	0	24	"female"	"0"	105723.95456563	12	12	112	"technical"	18	3	2.5	8	11
"246"	24	6	1	4	5	2	21	37	23	26	28	79.1666666666667	6	"quasiexperiment"	"Mathematics"	"Other"	"Afro-American"	0	18	"female"	"0"	55659.8942060965	14	13.4354093703537	14	"non-technical"	19	2.35	2.52	8	15
"247"	18	4	2	6	6	1	24	37	40	41	32	29.1666666666667	2	"quasiexperiment"	"Mathematics"	"Other"	"Afro-American"	0	18	"female"	"0"	76557.6527471973	16	15.3452352853928	6	"non-technical"	17	2.9	2.263	2	7
"248"	29	10	4	5	3	1	35	35	40	22	41	36	4	"randomized experiment"	"Vocabulary"	"Caucasian"	"Other"	0	19	"female"	"0"	75000	13	16	33	"non-technical"	27	3.88	4	22	14
"249"	25	6	4	7	9	3	40	46	43	32	44	57	0	"quasiexperiment"	"Vocabulary"	"Other"	"Afro-American"	0	20	"female"	"0"	47000	14	16	55	"non-technical"	21	3.8	2.34	12	12
"250"	23	5	2	2	4	3	25.5555555555556	33	25	28	35	90.2173913043478	3	"quasiexperiment"	"Vocabulary"	"Other"	"Afro-American"	0	20	"female"	"0"	43425.2221098898	12	16	50	"non-technical"	20	2.73	2.83	17	5
"251"	20	3	2	7	6	3	19	33	35	33	40	34	10	"randomized experiment"	"Mathematics"	"Caucasian"	"Other"	0	19	"male"	"0"	49376.6494223752	16	16	0	"non-technical"	21	2.92	1.521	7	14
"252"	21	5	2	2	8	3	46	47	23	29	40	86	2	"quasiexperiment"	"Vocabulary"	"Caucasian"	"Other"	0	18	"female"	"0"	50000	12	12	16	"non-technical"	21	3.5	3.16	17	7
"253"	17	4	1	3	5	3	50	46	30	49	39	49	0	"randomized experiment"	"Mathematics"	"Caucasian"	"Other"	0	21	"male"	"0"	65000	16	18	0	"technical"	17	1.33	1.73	4	11
